HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
5201000000,5201.00.00.00,5201.00.00.00 (1988-01/1989-12),198801,198912,KGM,KGM (1988-01/1989-12),198801,198912,"Cotton, not carded or combed","Coton, non cardé ni peigné"
5201000000,5201.00.00.00,5201.00.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Cotton, not carded or combed","Coton, non cardé ni peigné"
5201000011,5201.00.00.11,5201.00.00.11 (1990-01/2011-12),199001,201112,KGM,KGM (1990-01/2011-12),199001,201112,"Cotton, not carded or combed, having a staple length<=25.4mm","Coton, non cardé ni peigné, longueur de la fibre<=25,4mm"
5201000019,5201.00.00.19,5201.00.00.19 (1990-01/2011-12),199001,201112,KGM,KGM (1990-01/2011-12),199001,201112,"Cotton, not carded or combed, having a staple length >25.4mm,<=28.57mm","Coton, non cardé ni peigné, longueur de la fibre >25,4mm,<=28,57mm"
5201000021,5201.00.00.21,5201.00.00.21 (1990-01/2011-12),199001,201112,KGM,KGM (1990-01/2011-12),199001,201112,"Cotton, American Pima,not carded or combed, having a staple length >28.57mm","Coton, Pima américain, non cardé ni peigné, longueur de la fibre >28,57mm"
5201000029,5201.00.00.29,5201.00.00.29 (1990-01/2011-12),199001,201112,KGM,KGM (1990-01/2011-12),199001,201112,"Cotton, excl American Pima, not carded or combed, having a staple le >28.57mm","Coton, a/q Pima américain, non cardé ni peigné, longueur de la fibre >28,57mm"
5202100000,5202.10.00.00,5202.10.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1988-01/9999-12),198801,999912,"Cotton yarn waste, including thread waste","Déchets de fils de coton, incl déchets de fils à coudre"
5202910000,5202.91.00.00,5202.91.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1988-01/9999-12),198801,999912,Garnetted stock of cotton,Effilochés de coton
5202990000,5202.99.00.00,5202.99.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1988-01/9999-12),198801,999912,"Cotton waste, nes","Déchets de coton, nda"
5203000000,5203.00.00.00,5203.00.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Cotton, carded or combed","Coton, cardé ou peigné"
5203001000,5203.00.10.00,5203.00.10.00 (1988-01/2011-12),198801,201112,KGM,KGM (1988-01/2011-12),198801,201112,"Cotton slivers, carded or combed","Coton en rubans de préparation, cardés ou peignés"
5203009000,5203.00.90.00,5203.00.90.00 (1988-01/2011-12),198801,201112,KGM,KGM (1988-01/2011-12),198801,201112,"Cotton, excluding slivers, carded or combed","Coton, a/q coton en rubans de préparation, cardé ou peigné"
5204110000,5204.11.00.00,5204.11.00.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Cotton sewing thread,>=85% by weight of cotton,not put up for retail sale","Fils à coudre de coton,>=85% de coton en pds,non conditionné pour vente au détail"
5204110000,5204.11.00.00,5204.11.00.00 (2019-01/9999-12),201901,999912,KGM,KGM (2019-01/9999-12),201901,999912,"Cotton sewing thread, >=85% by weight of cotton, not put up for retail sale","Fils à coudre de coton, >=85% en poids de coton,non cond pour la vente au détail"
