HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
5601101000,5601.10.10.00,5601.10.10.00 (1988-01/1997-12),198801,199712,KGM,KGM (1994-01/1997-12),199401,199712,Sanitary towels and tampons,Serviettes et tampons hygiéniques
5601101000,5601.10.10.00,5601.10.10.00 (1988-01/1997-12),198801,199712,,N/A (1988-01/1993-12),198801,199312,Sanitary towels and tampons,Serviettes et tampons hygiéniques
5601101000,5601.10.10.00,5601.10.10.00 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Napkins, diapers, liners and sim art, designed for persons o/t babies","Couches,doublures et au art hygiéniques sim,pr incontinence,pr persons a/q bébés"
5601109000,5601.10.90.00,5601.10.90.00 (1988-01/1997-12),198801,199712,KGM,KGM (1994-01/1997-12),199401,199712,"Sanitary articles of wadding of textile mat,excl sanitary towels & tampons","Articles hygiéniques en ouates de mati tex, a/q serviettes/tampons hygiéniques"
5601109000,5601.10.90.00,5601.10.90.00 (1988-01/1997-12),198801,199712,,N/A (1988-01/1993-12),198801,199312,"Sanitary articles of wadding of textile mat,excl sanitary towels & tampons","Articles hygiéniques en ouates de mati tex, a/q serviettes/tampons hygiéniques"
5601109010,5601.10.90.10,5601.10.90.10 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,Sanitary towels and tampons,Serviettes et tampons hygiéniques
5601109090,5601.10.90.90,5601.10.90.90 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Sanitary articles of wadding of textile mat, excl sanitary towels and tampons","Articles hygiéniques en ouates de mati tex, a/q serviettes/tampons hygiéniques"
5601211000,5601.21.10.00,5601.21.10.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Wadding of cotton, o/t sanitary","Ouates de coton, a/q hygiéniques"
5601211000,5601.21.10.00,5601.21.10.00 (1998-01/9999-12),199801,999912,KGM,KGM (1998-01/9999-12),199801,999912,"Strips of wadding, of cotton, for use in the manufacture of tampons","Bandes de ouate, de coton, devant servir à la fabrication de tampons"
5601212000,5601.21.20.00,5601.21.20.00 (1988-01/1997-12),198801,199712,KGM,KGM (1994-01/1997-12),199401,199712,"Articles of wadding of cotton, o/t sanitary","Articles en ouates de coton, a/q hygiéniques"
5601212000,5601.21.20.00,5601.21.20.00 (1988-01/1997-12),198801,199712,,N/A (1988-01/1993-12),198801,199312,"Articles of wadding of cotton, o/t sanitary","Articles en ouates de coton, a/q hygiéniques"
5601212000,5601.21.20.00,5601.21.20.00 (1998-01/2005-11),199801,200511,KGM,KGM (1998-01/2005-11),199801,200511,"Wadding of cotton, o/t sanitary","Ouates de coton, a/q hygiéniques"
5601212100,5601.21.21.00,5601.21.21.00 (2005-12/9999-12),200512,999912,KGM,KGM (2005-12/9999-12),200512,999912,"Wadding of cotton, o/t sanitary, for use in the mfr of apparel","Ouates de coton, a/q hygiéniques, pour fab de vêtements"
5601212900,5601.21.29.00,5601.21.29.00 (2005-12/9999-12),200512,999912,KGM,KGM (2005-12/9999-12),200512,999912,"Wadding of cotton, o/t sanitary, o/t for use in the mfr of apparel, nes","Ouates de coton, a/q hygiéniques, a/q pour fab de vêtements, nda"
