HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
1301100000,1301.10.00.00,1301.10.00.00 (1988-01/2006-12),198801,200612,KGM,KGM (1988-01/2006-12),198801,200612,Lac,Gomme laque
1301200000,1301.20.00.00,1301.20.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1988-01/9999-12),198801,999912,Gum arabic,Gomme arabique
1301900000,1301.90.00.00,1301.90.00.00 (1991-07/1995-12),199107,199512,KGM,KGM (1991-07/1995-12),199107,199512,"Natural gums, resins, gum-resins and balsam, except arabic gum","Gommes, résines, gommes-résines et baumes, naturels, a/q gomme arabique"
1301900000,1301.90.00.00,1301.90.00.00 (1996-01/2006-12),199601,200612,KGM,KGM (1996-01/2006-12),199601,200612,"Natural gums, resins, gum-resins and oleoresins, ex balsams, except arabic gum","Gommes, résines, gommes-résines et oléorésines (baumes), nat, a/q gomme arabique"
1301900000,1301.90.00.00,1301.90.00.00 (2012-01/2017-12),201201,201712,KGM,KGM (2012-01/2017-12),201201,201712,"Lac; natural gums, resins, gum-resins & oleoresins, o/t gum Arabic","Gomme laque; gommes,résines,gommes-résines & oléorésines,nat,a/q gomme arabique"
1301900010,1301.90.00.10,1301.90.00.10 (1988-01/1991-06),198801,199106,KGM,KGM (1988-01/1991-06),198801,199106,Turpine gum,Gomme de térébenthine
1301900010,1301.90.00.10,1301.90.00.10 (2007-01/2011-12),200701,201112,KGM,KGM (2007-01/2011-12),200701,201112,Lac,Gomme laque
1301900010,1301.90.00.10,1301.90.00.10 (2018-01/9999-12),201801,999912,KGM,KGM (2018-01/9999-12),201801,999912,Cannabis resins or oleoresins,Résines ou oléorésines de cannabis
1301900090,1301.90.00.90,1301.90.00.90 (1988-01/1991-06),198801,199106,KGM,KGM (1988-01/1991-06),198801,199106,"Natural gums, resins, gum-resins and balsam, except arabic and turpine gums","Gommes,résines,gommes-résines & baumes,naturel,a/q gomme arabique & térébenthine"
1301900090,1301.90.00.90,1301.90.00.90 (2007-01/2011-12),200701,201112,KGM,KGM (2007-01/2011-12),200701,201112,"Natural gums, resins, gum-resins and oleoresins, e.g. balsams, except arabic gum","Gommes,résines,gommes-rés et oléorésines,baumes,naturelles,a/q gomme arabique"
1301900090,1301.90.00.90,1301.90.00.90 (2018-01/9999-12),201801,999912,KGM,KGM (2018-01/9999-12),201801,999912,"Lac; natural gums, resins, gum-resins & oleoresins, o/t gum Arabic, nes","Gomme laque;gommes,résines,gommes-résines&oléorésines,nat,a/q gomme arabique,nda"
1302110000,1302.11.00.00,1302.11.00.00 (1988-01/1995-12),198801,199512,KGM,KGM (1988-01/1995-12),198801,199512,Opium sap,"Opium, suc desséché du pavot"
