HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
7301100000,7301.10.00.00,7301.10.00.00 (2017-01/9999-12),201701,999912,KGM,KGM (2021-01/9999-12),202101,999912,"Sheet piling,iron/steel, whether or not drilled/punched/made from assem elements","Palplanches en fer ou en acier, mêmes percées ou faites d'élément assemblés"
7301100000,7301.10.00.00,7301.10.00.00 (2017-01/9999-12),201701,999912,TNE,TNE (2017-01/2020-12),201701,202012,"Sheet piling,iron/steel, whether or not drilled/punched/made from assem elements","Palplanches en fer ou en acier, mêmes percées ou faites d'élément assemblés"
7301100010,7301.10.00.10,7301.10.00.10 (1998-01/2016-12),199801,201612,TNE,TNE (1998-01/2016-12),199801,201612,"Sheet piling,i/s,w/n drilled/punched or made from assem elements,nfw than hr","Palplanches,f/a,même percées ou faites d'éléments assemblés,simpl lam à chaud"
7301100090,7301.10.00.90,7301.10.00.90 (1998-01/2016-12),199801,201612,TNE,TNE (1998-01/2016-12),199801,201612,"Sheet piling,i/s,w/n drilled/punched/made from assem element, nes","Palplanches en fer ou acier,même percées ou faites d'éléments assemblés,nda"
7301101000,7301.10.10.00,7301.10.10.00 (1988-01/1997-12),198801,199712,TNE,TNE (1988-01/1997-12),198801,199712,"Sheet piling,i/s,w/n drilled/punched or made from assem elements,nfw than hr","Palplanches,f/a,même percées ou faites d'éléments assemblés,simpl lam à chaud"
7301109000,7301.10.90.00,7301.10.90.00 (1988-01/1997-12),198801,199712,TNE,TNE (1988-01/1997-12),198801,199712,"Sheet piling,i/s,w/n drilled/punched/made from assem element, nes","Palplanches en fer ou acier,même percées ou faites d'éléments assemblés,nda"
7301200010,7301.20.00.10,7301.20.00.10 (1988-01/1997-12),198801,199712,TNE,TNE (1988-01/1997-12),198801,199712,"Angles, shapes and sections, welded, i/s, height<=635mm","Profilés obtenus par soudage,en fer ou acier,hauteur<=635mm"
7301200010,7301.20.00.10,7301.20.00.10 (2012-01/9999-12),201201,999912,KGM,KGM (2021-01/9999-12),202101,999912,"Angles, shapes and sections, welded, of iron or steel, height <= 635 mm","Profilés obtenus par soudage, en fer ou acier, hauteur <= 635 mm"
7301200010,7301.20.00.10,7301.20.00.10 (2012-01/9999-12),201201,999912,TNE,TNE (2012-01/2020-12),201201,202012,"Angles, shapes and sections, welded, of iron or steel, height <= 635 mm","Profilés obtenus par soudage, en fer ou acier, hauteur <= 635 mm"
7301200020,7301.20.00.20,7301.20.00.20 (1988-01/1997-12),198801,199712,TNE,TNE (1988-01/1997-12),198801,199712,"Angles, shapes and sections, welded, i/s, height >635mm","Profilés obtenus par soudage,en fer ou acier,hauteur >635mm"
7301200020,7301.20.00.20,7301.20.00.20 (2012-01/9999-12),201201,999912,KGM,KGM (2021-01/9999-12),202101,999912,"Angles, shapes and sections, welded, of iron or steel, height > 635 mm","Profilés obtenus par soudage, en fer ou acier, hauteur > 635 mm"
7301200020,7301.20.00.20,7301.20.00.20 (2012-01/9999-12),201201,999912,TNE,TNE (2012-01/2020-12),201201,202012,"Angles, shapes and sections, welded, of iron or steel, height > 635 mm","Profilés obtenus par soudage, en fer ou acier, hauteur > 635 mm"
7301201010,7301.20.10.10,7301.20.10.10 (1998-01/2011-12),199801,201112,TNE,TNE (1998-01/2011-12),199801,201112,"Angles,shapes and sections,wld,ships/boats/floating struct,i/s,height <= 635 mm","Profilés obtenus par soudage,pr navire/bateau/engin flottant,f/ac,hauteur<=635mm"
7301201020,7301.20.10.20,7301.20.10.20 (1998-01/2011-12),199801,201112,TNE,TNE (1998-01/2011-12),199801,201112,"Angles, shapes and sections, welded, i/s, height >635mm","Profilés obtenus par soudage,en fer ou acier,hauteur >635mm"
7301209010,7301.20.90.10,7301.20.90.10 (1998-01/2011-12),199801,201112,TNE,TNE (1998-01/2011-12),199801,201112,"Angles, shapes and sections, welded, i/s, height<=635mm, nes","Profilés obtenus par soudage,en fer ou acier,hauteur<=635mm, nda"
