HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
7901110000,7901.11.00.00,7901.11.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1988-01/9999-12),198801,999912,"Zinc, not alloyed, unwrought, containing by weight 99.99% or more of zinc","Zinc, non allié, sous forme brute, contenant en poids 99,99% ou plus de zinc"
7901120000,7901.12.00.00,7901.12.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1988-01/9999-12),198801,999912,"Zinc, not alloyed, unwrought containing by weight less than 99.99% of zinc","Zinc, non allié, sous forme brute, contenant en poids moins de 99,99% de zinc"
7901200000,7901.20.00.00,7901.20.00.00 (2017-01/9999-12),201701,999912,KGM,KGM (2017-01/9999-12),201701,999912,"Alloys, of zinc, unwrought","Alliages, de zinc, sous forme brute"
7901200010,7901.20.00.10,7901.20.00.10 (1998-01/2016-12),199801,201612,KGM,KGM (1998-01/2016-12),199801,201612,"Zinc alloys, unwrought, containing by weight>=90% but <97.5% of zinc","Alliages de zinc sous forme brute,contenant en poids>=90%<97,5% de zinc"
7901200020,7901.20.00.20,7901.20.00.20 (1998-01/2016-12),199801,201612,KGM,KGM (1998-01/2016-12),199801,201612,"Zinc alloys, unwrought, containing by weight <90% of zinc","Alliages de zinc sous forme brute,contenant en poids <90% de zinc"
7901201000,7901.20.10.00,7901.20.10.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc alloys, unwrought, containing by weight>=90% but <97.5% of zinc","Alliages de zinc sous forme brute,contenant en poids>=90%<97,5% de zinc"
7901202000,7901.20.20.00,7901.20.20.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc alloys, unwrought, containing by weight <90% of zinc","Alliages de zinc sous forme brute,contenant en poids <90% de zinc"
7902000000,7902.00.00.00,7902.00.00.00 (1988-01/1995-12),198801,199512,KGM,KGM (1988-01/1995-12),198801,199512,Zinc waste and scrap,Déchets et débris de zinc
7902000000,7902.00.00.00,7902.00.00.00 (1996-01/9999-12),199601,999912,KGM,KGM (1996-01/9999-12),199601,999912,Zinc waste and scrap,Déchets et débris de zinc
7903100000,7903.10.00.00,7903.10.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1988-01/9999-12),198801,999912,Zinc dust,Poussières de zinc
7903900000,7903.90.00.00,7903.90.00.00 (2017-01/9999-12),201701,999912,KGM,KGM (2017-01/9999-12),201701,999912,"Powders and flakes, of zinc","Poudres et paillettes, de zinc"
7903900010,7903.90.00.10,7903.90.00.10 (1998-01/2016-12),199801,201612,KGM,KGM (1998-01/2016-12),199801,201612,"Zinc powders, not alloyed",Poudres de zinc non allié
7903900020,7903.90.00.20,7903.90.00.20 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Powders,alloyed; flakes, zinc",Poudres d'alliages de zinc;paillettes de zinc
7903900090,7903.90.00.90,7903.90.00.90 (2012-01/2016-12),201201,201612,KGM,KGM (2012-01/2016-12),201201,201612,"Powders, alloyed and flakes of zinc",Poudres d'alliages et paillettes de zinc
7903901000,7903.90.10.00,7903.90.10.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc powders, not alloyed",Poudres de zinc non allié
7903902000,7903.90.20.00,7903.90.20.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Alloyed powders; flakes, zinc",Poudres d'alliages de zinc;paillettes de zinc
7904000000,7904.00.00.00,7904.00.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Bars, rods, profiles and wire, of zinc","Barres, profilés et fils, en zinc"
7904000010,7904.00.00.10,7904.00.00.10 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Zinc bars, rods or profiles, containing by weight>=90% of zinc","Barres ou profilés en zinc,contenant en poids>=90% de zinc"
7904000021,7904.00.00.21,7904.00.00.21 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Bars and rods,zinc,containing by weight <90% of zinc","Barres en zinc,contenant en poids <90% de zinc"
7904000022,7904.00.00.22,7904.00.00.22 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Wire,zinc,coated or covered","Fils de zinc,recouverts ou revêtus"
7904000023,7904.00.00.23,7904.00.00.23 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Profiles,zinc,containing by weight <90% of zinc","Profilés en zinc,contenant en poids <90% de zinc"
7904000030,7904.00.00.30,7904.00.00.30 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Wire,zinc,not coated or covered","Fils de zinc,non recouverts ou revêtus"
7904001000,7904.00.10.00,7904.00.10.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc bars, rods or profiles, containing by weight>=90% of zinc","Barres et profilés en zinc,contenant en poids>=90% de zinc"
7904002110,7904.00.21.10,7904.00.21.10 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc bars and rods, containing by weight <90% of zinc","Barres en zinc,contenant en poids <90% de zinc"
7904002120,7904.00.21.20,7904.00.21.20 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc profiles, containing by weight <90% of zinc","Profilés en zinc,contenant en poids <90% de zinc"
7904002130,7904.00.21.30,7904.00.21.30 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc wire, coated or covered","Fils de zinc,recouverts ou revêtus"
7904002200,7904.00.22.00,7904.00.22.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc wire, not coated or covered","Fils de zinc,non recouverts ou revêtus"
7905000000,7905.00.00.00,7905.00.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Plates, sheets, strip and foil, of zinc","Tôles, feuilles et bandes, en zinc"
7905000011,7905.00.00.11,7905.00.00.11 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Plate,sheet,strip and foil,zinc,cont>=90% zinc,>.15b<4.75mm thk,mfr prntg plates","Tôles,feuilles,bandes en zinc,>=90% zinc,épais>0,15<4,75mm,fab plaq impr offset"
7905000019,7905.00.00.19,7905.00.00.19 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Plate,sheet,strip and foil,zinc,containing>=90% zinc, nes","Tôles,feuilles et bandes en zinc,contenant>=90% de zinc,nda"
7905000020,7905.00.00.20,7905.00.00.20 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Plate,sheet,strip and foil,zinc,containing by weight <90% of zinc","Tôles,feuilles et bandes en zinc,contenant <90% de zinc"
7905001100,7905.00.11.00,7905.00.11.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc plate,sheet,strip and foil,cont>=90% zinc,>.15b<4.75mm thk,for prntg plates","Tôles,feuilles,bandes en zinc,>=90% de zinc,épais>0,15<4,75mm,pr plaq impr offset"
7905001900,7905.00.19.00,7905.00.19.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc plate,sheet,strip and foil,containing>=90% zinc, nes","Tôles,feuilles et bandes en zinc,contenant>=90% de zinc,nda"
7905002000,7905.00.20.00,7905.00.20.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Zinc plate,sheet,strip and foil, containing by weight <90% of zinc","Tôles,feuilles et bandes en zinc,contenant <90% de zinc"
7906000000,7906.00.00.00,7906.00.00.00 (1988-01/2006-12),198801,200612,KGM,KGM (1988-01/2006-12),198801,200612,"Zinc pipes or tubes and fittings, for example, couplings,elbows and sleeves","Tubes,tuyaux et accessoires de tuyauterie,p.ex.raccords,coudes,manchons,en zinc"
7907001000,7907.00.10.00,7907.00.10.00 (1998-01/2011-11),199801,201111,KGM,KGM (1998-01/2011-11),199801,201111,"Anodes,zinc,for electro-plating","Anodes pour galvanoplastie,en zinc"
7907001010,7907.00.10.10,7907.00.10.10 (1996-01/1997-12),199601,199712,KGM,KGM (1996-01/1997-12),199601,199712,Zinc grills or air diffusers,"Grilles ou arrivées d'air (diffuseurs),en zinc"
7907001090,7907.00.10.90,7907.00.10.90 (1996-01/1997-12),199601,199712,KGM,KGM (1996-01/1997-12),199601,199712,"Zinc fabricated building components, e.g. gutter,roof capping,skylight frame,nes","Ouvrages façonnés pour le bâtiment,p.ex.gouttière,faîtage,lucarne,en zinc,nda"
7907002000,7907.00.20.00,7907.00.20.00 (1996-01/1997-12),199601,199712,KGM,KGM (1996-01/1997-12),199601,199712,Zinc anodes for electro-plating,"Anodes de galvanoplastie,en zinc"
7907002010,7907.00.20.10,7907.00.20.10 (1998-01/2011-11),199801,201111,KGM,KGM (1998-01/2011-11),199801,201111,"Discs or slugs,zinc,containing>=90% by weight of zinc","Disques ou pions en zinc,contenant en poids>=90% de zinc"
7907002021,7907.00.20.21,7907.00.20.21 (1998-01/2011-11),199801,201111,KGM,KGM (1998-01/2011-11),199801,201111,"Grills or air diffusers,zinc","Grilles ou diffuseurs d'air,en zinc"
7907002029,7907.00.20.29,7907.00.20.29 (1998-01/2011-11),199801,201111,KGM,KGM (1998-01/2011-11),199801,201111,"Zinc fabricated building components, e.g. gutter,roof capping,skylight frame,nes","Ouvrages façonnés pour le bâtiment, i.e. gouttière, faîtage, lucarne,en zinc,nda"
7907002030,7907.00.20.30,7907.00.20.30 (2007-01/2011-11),200701,201111,KGM,KGM (2007-01/2011-11),200701,201111,"Zinc pipes or tubes and fittings, for example, couplings,elbows and sleeves","Tubes, tuyaux et accessoires de tuyauterie,i.e. raccords,coudes,manchons,en zinc"
