HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
5801100000,5801.10.00.00,5801.10.00.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Woven pile fabrics of wool or fine animal hair,o/t terry and narrow fabrics","Velours ou peluches tissés, de laine/poils fins, a/q tissus éponge ou rubanerie"
5801100000,5801.10.00.00,5801.10.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Woven pile fabrics of wool or fine animal hair, o/t fabrics of No 58.02 or 58.06","Velours et peluches tissés et tissus chenille,laine/poil fin,a/q n°s 58.02/58.06"
5801101000,5801.10.10.00,5801.10.10.00 (1998-01/2011-12),199801,201112,KGM,KGM (1998-01/2011-12),199801,201112,"Woven pile fab of wool/fine animal hair,mfr stuffed animals/non-human creature","Velours,peluche tissé,de laine/poil fin,util pr fab jouet rembourré"
5801109000,5801.10.90.00,5801.10.90.00 (1998-01/2005-11),199801,200511,KGM,KGM (1998-01/2005-11),199801,200511,"Woven pile fabrics of wool or fine animal hair,o/t terry and narrow fabrics,nes","Velours ou peluches tissés, de laine/poils fins, a/q tissus éponge/rubanerie,nda"
5801109100,5801.10.91.00,5801.10.91.00 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Woven pile fab of wool/fine animal hair,o/t terry and narrow fab,mfr apparel,nes","Velours,peluche tissé,de laine/poil fin,a/q tissu éponge/rubanerie,fab vêtem,nda"
5801109900,5801.10.99.00,5801.10.99.00 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Woven pile fab wool/fine animal hair,o/t terry & narrow fab,o/t mfr apparel,nes","Velours,peluche tissé,de laine/poil fin,a/q tissu éponge/rubanerie,a/q vêtem,nda"
5801210000,5801.21.00.00,5801.21.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1988-01/9999-12),198801,999912,"Woven uncut weft pile fabrics of cotton, other than fabrics of No 58.02 or 58.06","Velours et peluches par la trame,non coupés,de coton,a/q art des n°s 58.02/58.06"
5801220000,5801.22.00.00,5801.22.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Cut corduroy fabrics of cotton, other than fabrics of No 58.02 or 58.06","Velours et peluches par la trame,coupés,côtelés,de coton,a/q des n°s 58.02/58.06"
5801221000,5801.22.10.00,5801.22.10.00 (1998-01/2005-11),199801,200511,KGM,KGM (1998-01/2005-11),199801,200511,"Cut corduroy,of cotton,containing elastomeric yarn,etc,mfr apparel","Velours,côtelés,coupés,coton,contenant fils élastomère,pr fab vêtement"
5801221010,5801.22.10.10,5801.22.10.10 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Cut corduroy of fabrics solely of cotton, unbleached, o/t narrow fabrics","Velours,peluches tis par la trame,côtelés,coupés,seul coton,écrus,a/q rubanerie"
5801221090,5801.22.10.90,5801.22.10.90 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Cut corduroy of fabrics, solely of cotton, o/t unbleached, o/t narrow fabrics","Velours,peluches tis par la trame,côtelés,coupés,seul cot,a/q écrus ou rubanerie"
5801222010,5801.22.20.10,5801.22.20.10 (1998-01/2003-08),199801,200308,KGM,KGM (1998-01/2003-08),199801,200308,"Cut corduroy of fabrics solely of cotton, unbleached, o/t narrow fabrics,nes","Velours,peluche tis par la trame,côtelé,coupé,seul coton,écru,a/q rubanerie,nda"
5801222090,5801.22.20.90,5801.22.20.90 (1998-01/2003-08),199801,200308,KGM,KGM (1998-01/2003-08),199801,200308,"Cut corduroy of fabrics, solely of cotton, o/t unbleached, o/t narrow fabric,nes","Velours,peluche tis par la trame,côtelé,coupé,seul cot,a/q écru ou rubanerie,nda"
5801222100,5801.22.21.00,5801.22.21.00 (2003-09/2011-12),200309,201112,KGM,KGM (2003-09/2011-12),200309,201112,"Cut corduroy of fabrics solely of cotton,y of diff colours,weighing <= 200 g/m_","Velours,peluche tis par la trame,côtelé,coupé,seul coton, poids <= 200 g/m_"
5801222910,5801.22.29.10,5801.22.29.10 (2003-09/2011-12),200309,201112,KGM,KGM (2003-09/2011-12),200309,201112,"Cut corduroy of fabrics solely of cotton, unbleached, o/t narrow fabrics,nes","Velours,peluche tis par la trame,côtelé,coupé,seul coton,écru,a/q rubanerie,nda"
5801222990,5801.22.29.90,5801.22.29.90 (2003-09/2011-12),200309,201112,KGM,KGM (2003-09/2011-12),200309,201112,"Cut corduroy of fabrics, solely of cotton, o/t unbleached, o/t narrow fabric,nes","Velours,peluche tis par la trame,côtelé,coupé,seul cot,a/q écru ou rubanerie,nda"
5801223000,5801.22.30.00,5801.22.30.00 (2005-01/2005-11),200501,200511,KGM,KGM (2005-01/2005-11),200501,200511,"Cut corduroy of cotton/w elast mono yarn, dyed, weighing<=290 g/m_,fr mfg appar","Vel,peluche tissé par trame,côtelé,cot a mono élasto,teints,<=290 g/m_,fab vêtem"
5801229000,5801.22.90.00,5801.22.90.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Cut corduroy of fabrics o/t solely of cotton, o/t narrow fabrics","Velours,peluches tissés par la trame,côtelés,coupés,a/q seul coton,a/q rubanerie"
5801229000,5801.22.90.00,5801.22.90.00 (1998-01/2004-12),199801,200412,KGM,KGM (1998-01/2004-12),199801,200412,"Cut corduroy of fabrics o/t solely of cotton, o/t narrow fabrics,nes","Velours,peluche tissé par la trame,côtelé,coupé,a/q seul coton,a/q rubanerie,nda"
5801229000,5801.22.90.00,5801.22.90.00 (2005-01/2005-11),200501,200511,KGM,KGM (2005-01/2005-11),200501,200511,"Cut corduroy of fabrics o/t solely of cotton, o/t narrow fabrics,nes","Velours,peluche tissé par la trame,côtelé,coupé,a/q seul coton,a/q rubanerie,nda"
5801229100,5801.22.91.00,5801.22.91.00 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Cut corduroy of fab,o/t solely of cot, o/t narrow fab, mfr of apparel, nes","Velours,peluche tissé par trame,côtelé,coupé,a/q cot,a/q rubanerie,fab vêtem,nda"
5801229900,5801.22.99.00,5801.22.99.00 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Cut corduroy of fab,o/t solely of cot, o/t narrow fabrics,o/t mfr apparel, nes","Velours,peluche tissé par trame,côtelé,coupé,a/q cot,a/q rubanerie,fab vêtem,nda"
5801230000,5801.23.00.00,5801.23.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Other woven weft pile fabrics of cotton, other than fabrics of No 58.02 or 58.06","Autres velours&peluches par la trame,de coton,a/q les art des n°s 58.02 ou 58.06"
5801230010,5801.23.00.10,5801.23.00.10 (1998-01/2005-11),199801,200511,KGM,KGM (1998-01/2005-11),199801,200511,"Woven weft pile fabrics of cotton, not containing man-made fibres","Velours ou peluches tissés par la trame, de coton, sans fibres syn/arti"
5801230020,5801.23.00.20,5801.23.00.20 (1998-01/2005-11),199801,200511,KGM,KGM (1998-01/2005-11),199801,200511,"Woven weft pile fabrics of cotton, containing man-made fibres","Velours ou peluches tissés par la trame, de coton, cont des fibres syn/arti"
5801231000,5801.23.10.00,5801.23.10.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Woven weft pile fabrics of cotton, not containing man-made fibres","Velours ou peluches tissés par la trame, de coton, sans fibres syn/arti"
5801231010,5801.23.10.10,5801.23.10.10 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Woven weft pile fabrics of cotton, not containing man-made fibres, for apparel","Velours, peluches tissés par la trame, de coton, sans fibres syn/arti, pr vêtem"
5801231020,5801.23.10.20,5801.23.10.20 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Woven weft pile fabrics of cotton, containing man-made fibres, for apparel","Velours, peluches tissés par la trame,de coton,cont des fibres syn/arti,pr vêtem"
5801232000,5801.23.20.00,5801.23.20.00 (1988-01/1997-12),198801,199712,KGM,KGM (1988-01/1997-12),198801,199712,"Woven weft pile fabrics of cotton, containing man-made fibres","Velours ou peluches tissés par la trame, de coton, cont des fibres syn/arti"
5801239010,5801.23.90.10,5801.23.90.10 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Woven weft pile fabrics of cotton, not containing man-made fibres, o/t apparel","Velours, peluches tissés par la trame, de coton, sans fibres syn/arti, a/q vêtem"
5801239020,5801.23.90.20,5801.23.90.20 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Woven weft pile fabrics of cotton, containing man-made fibres, o/t apparel","Velours, peluches tissés p la trame,de coton,cont des fibres syn/arti,a/q vêtem"
5801240000,5801.24.00.00,5801.24.00.00 (1988-01/2005-11),198801,200511,KGM,KGM (1988-01/2005-11),198801,200511,"Woven warp pile fabrics of cotton, épinglé (uncut), o/t terry & narrow fabrics","Velours,peluches tis par la chaîne,de coton,épinglés,a/q tissus éponge/rubanerie"
5801241000,5801.24.10.00,5801.24.10.00 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Woven warp pile fab of cot,épinglé (uncut),o/t terry & narrow fab,mfr of apparel","Velours,peluche tis p chaîne,de cot,épinglé,a/q tissu éponge/rubanerie,fab vêtem"
5801249000,5801.24.90.00,5801.24.90.00 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Woven warp pile fab cot,épinglé(uncut),o/t terry & narrow fab,o/t apparel,nes","Velours,peluche tis p chaîne,cot,épinglé,a/q tissu éponge/rubanerie,a/q vêt,nda"
5801251000,5801.25.10.00,5801.25.10.00 (1988-01/2011-12),198801,201112,KGM,KGM (1988-01/2011-12),198801,201112,"Woven warp pile fab of cotton,cut,not cont m-m fib o/t terry and narrow fabrics","Velours,peluches tis par chaîne,cot,coup,sans fib syn/arti,a/q éponge/rubanerie"
5801252000,5801.25.20.00,5801.25.20.00 (1988-01/2005-11),198801,200511,KGM,KGM (1988-01/2005-11),198801,200511,"Woven warp pile fabrics of cotton,cont man-made fibres,o/t terry & narr fabrics","Velours,peluches tis par chaîne,de coton,cont fib syn/arti,a/q éponge/rubanerie"
5801252100,5801.25.21.00,5801.25.21.00 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Woven warp pile fab of cot,cont m-m fibres,o/t terry & narr fabrics,f apparel","Velours,peluche tis chaîne,cot,cont fib syn/arti,a/q éponge/rubanerie,fab vêtem"
5801252900,5801.25.29.00,5801.25.29.00 (2005-12/2011-12),200512,201112,KGM,KGM (2005-12/2011-12),200512,201112,"Woven warp pile fab cot,cont m-m fibres,o/t terry & narr fab,o/t apparel,nes","Velours,peluche tis chaîne,cot,cont fib syn/arti,a/q épon/rubanerie,a/q vêt,nda"
5801260000,5801.26.00.00,5801.26.00.00 (1988-01/2005-11),198801,200511,KGM,KGM (1988-01/2005-11),198801,200511,"Chenille fabrics of cotton, o/t narrow fabrics","Tissus de chenille, de coton, a/q rubanerie"
5801260000,5801.26.00.00,5801.26.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Chenille fabrics of cotton, other than terry towelling and narrow fabrics","Tissus de chenille, de coton, autres que tissus bouclés et rubanerie"
