HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
9501000010,9501.00.00.10,9501.00.00.10 (1988-01/2006-12),198801,200612,NMB,NMB (1988-01/2006-12),198801,200612,"Tricycles, designed to be ridden by children",Tricycles jouets d'enfants
9501000020,9501.00.00.20,9501.00.00.20 (1988-01/2006-12),198801,200612,NMB,NMB (1988-01/2006-12),198801,200612,"Pedal cars, designed to be ridden by children",Autos à pédales jouets d'enfants
9501000030,9501.00.00.30,9501.00.00.30 (1988-01/2006-12),198801,200612,NMB,NMB (1988-01/2006-12),198801,200612,"Carriages, dolls",Landaus et poussettes de poupées
9501000040,9501.00.00.40,9501.00.00.40 (1988-01/2006-12),198801,200612,NMB,NMB (1988-01/2006-12),198801,200612,"Wagons, toy",Chariots jouets d'enfants
9501000080,9501.00.00.80,9501.00.00.80 (1988-01/2006-12),198801,200612,NMB,NMB (1988-01/2006-12),198801,200612,"Toys, wheeled, designed to be ridden by children, nes","Jouets d'enfants, à roues, nda"
9501000090,9501.00.00.90,9501.00.00.90 (2000-01/2006-12),200001,200612,,N/A (2000-01/2006-12),200001,200612,"Parts and accessories, for wheeled toys designed to be ridden by children",Parties et accessoires pour jouets d'enfants à roues
9501000091,9501.00.00.91,9501.00.00.91 (1988-01/1999-12),198801,199912,,N/A (1988-01/1999-12),198801,199912,Parts and accessories for tricycles,Parties et accessoires pour tricycles d'enfants
9501000099,9501.00.00.99,9501.00.00.99 (1988-01/1999-12),198801,199912,,N/A (1988-01/1999-12),198801,199912,"Parts and accessories, for wheeled toys designed to be ridden by children, nes","Parties et accessoires pour jouets d'enfants à roues, nda"
9502100000,9502.10.00.00,9502.10.00.00 (1988-01/2006-12),198801,200612,,N/A (1988-01/2006-12),198801,200612,"Dolls, representing human beings only, whether or not dressed","Poupées représentant uniquement l'être humain, même habillées"
9502910000,9502.91.00.00,9502.91.00.00 (1988-01/2006-12),198801,200612,,N/A (1988-01/2006-12),198801,200612,"Garments & acces thereof,footwear & headgear,for dolls representing human beings","Vêtements et leurs acces, chaussures et chapeaux,pour poupées repr l'être humain"
9502990010,9502.99.00.10,9502.99.00.10 (1988-01/2006-12),198801,200612,,N/A (1988-01/2006-12),198801,200612,"Parts of dolls representing human beings only, nes","Parties pour poupées représentant uniquement l'être humain, nda"
9502990020,9502.99.00.20,9502.99.00.20 (1988-01/2006-12),198801,200612,,N/A (1988-01/2006-12),198801,200612,"Accessories of dolls representing human beings only, nes","Accessoires pour poupées représentant uniquement l'être humain, nda"
9503001010,9503.00.10.10,9503.00.10.10 (2007-01/9999-12),200701,999912,NMB,NMB (2007-01/9999-12),200701,999912,"Tricycles, designed to be ridden by children",Tricycles d'enfants jouets
9503001020,9503.00.10.20,9503.00.10.20 (2007-01/2011-12),200701,201112,NMB,NMB (2007-01/2011-12),200701,201112,"Pedal cars, designed to be ridden by children",Autos à pédales d'enfants jouets
9503001030,9503.00.10.30,9503.00.10.30 (2007-01/2011-12),200701,201112,NMB,NMB (2007-01/2011-12),200701,201112,Dolls' carriages,Landaus et poussettes de poupées
9503001040,9503.00.10.40,9503.00.10.40 (2007-01/2016-12),200701,201612,NMB,NMB (2007-01/2016-12),200701,201612,"Wagons, toy",Chariots d'enfants jouets
9503001080,9503.00.10.80,9503.00.10.80 (2007-01/2011-12),200701,201112,NMB,NMB (2007-01/2011-12),200701,201112,"Wheeled toys, designed to be ridden by children, nes","Jouets d'enfants, à roues, nda"
9503001080,9503.00.10.80,9503.00.10.80 (2012-01/2016-12),201201,201612,,N/A (2012-01/2016-12),201201,201612,"Parts & access, for wheeled toy design for children or for dolls' carriages",Partie & access pour jouet à roue conçu pour enfant ou pour poussette de poupée
9503001090,9503.00.10.90,9503.00.10.90 (2007-01/2011-12),200701,201112,,N/A (2007-01/2011-12),200701,201112,"Parts and accessories, for wheeled toys designed to be ridden by children","Parties et accessoires pour jouets à roues, d'enfants"
9503001090,9503.00.10.90,9503.00.10.90 (2012-01/2016-12),201201,201612,NMB,NMB (2012-01/2016-12),201201,201612,"Other wheeled toys, designed for children, nes","Autres jouets à roues, conçus pour enfants, nda"
9503001090,9503.00.10.90,9503.00.10.90 (2017-01/9999-12),201701,999912,NMB,NMB (2017-01/9999-12),201701,999912,"Wheeled toys, designed for children, o/t tricycles","Jouets à roues, conçus pour enfants, a/q tricycles"
