HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
3701100000,3701.10.00.00,3701.10.00.00 (1988-01/1989-12),198801,198912,,N/A (1988-01/1989-12),198801,198912,"Photographic plates & film in the flat, sensitized, unexposed, for X-ray","Plaques et films photographiques, plans, sens, n impres, pour rayons X"
3701100010,3701.10.00.10,3701.10.00.10 (1990-01/9999-12),199001,999912,MTK,MTK (1990-01/9999-12),199001,999912,"Photo plates and film in the flat, sensitized, unexp, for med X-ray o/t dental","Plaques et films photographiques, plans, sens,non impres,pour rayons X a/q dent"
3701100090,3701.10.00.90,3701.10.00.90 (1990-01/9999-12),199001,999912,MTK,MTK (1990-01/9999-12),199001,999912,"Photographic plates and film, in the flat, sensitized,unexp, for X-ray, nes","Plaques et films photographiques, plans, sens, non impres, pour rayons X, nda"
3701200000,3701.20.00.00,3701.20.00.00 (1988-01/9999-12),198801,999912,,N/A (1988-01/1989-12),198801,198912,"Photographic instant print film in the flat,sensitized, unexposed","Films photo à développement et tirage instantanés, plans, sens, non impres"
3701200000,3701.20.00.00,3701.20.00.00 (1988-01/9999-12),198801,999912,NMB,NMB (1990-01/9999-12),199001,999912,"Photographic instant print film in the flat,sensitized, unexposed","Films photo à développement et tirage instantanés, plans, sens, non impres"
3701300000,3701.30.00.00,3701.30.00.00 (2019-01/9999-12),201901,999912,MTK,MTK (2019-01/9999-12),201901,999912,"Photographic plates & film in the flat, sens, unexp, with any side > 255 mm","Plaques et films plans, photo, sens, non impres, d'au moins un côté > 255 mm"
3701301000,3701.30.10.00,3701.30.10.00 (1988-01/1997-12),198801,199712,MTK,MTK (1990-01/1997-12),199001,199712,"Photographic plates in the flat, sens,unexp, with any side exceeding 255 mm","Plaques photographiques, planes, sensibilisées, non impres, un côté > 255 mm"
3701301000,3701.30.10.00,3701.30.10.00 (1988-01/1997-12),198801,199712,,N/A (1988-01/1989-12),198801,198912,"Photographic plates in the flat, sens,unexp, with any side exceeding 255 mm","Plaques photographiques, planes, sensibilisées, non impres, un côté > 255 mm"
3701301000,3701.30.10.00,3701.30.10.00 (1998-01/2018-12),199801,201812,MTK,MTK (1998-01/2018-12),199801,201812,"Photo plate w a resolution capability of 500 line, etc, w any side > 255 mm","Plaque photo, ayant un séparateur d'au moins 500 lignes, etc, un côté > 255 mm"
3701302000,3701.30.20.00,3701.30.20.00 (1988-01/1997-12),198801,199712,MTK,MTK (1990-01/1997-12),199001,199712,"Photographic film in the flat, sens, unexp, with any side exceeding 255 mm","Films photographiques, plans, sensibilisés, non impressionnés, un côté > 255 mm"
3701302000,3701.30.20.00,3701.30.20.00 (1988-01/1997-12),198801,199712,,N/A (1988-01/1989-12),198801,198912,"Photographic film in the flat, sens, unexp, with any side exceeding 255 mm","Films photographiques, plans, sensibilisés, non impressionnés, un côté > 255 mm"
3701302000,3701.30.20.00,3701.30.20.00 (1998-01/2018-12),199801,201812,MTK,MTK (1998-01/2018-12),199801,201812,"Photographic plates in the flat, sens,unexp, with any side > 255 mm, nes","Plaques photographiques, planes, sensibilisées, non impres,un côté > 255 mm,nda"
3701303000,3701.30.30.00,3701.30.30.00 (1998-01/2006-12),199801,200612,MTK,MTK (1998-01/2006-12),199801,200612,"Photographic film in the flat, sens, unexp, with any side exceeding 255 mm","Films photographiques, plans, sensibilisés, non impressionnés, un côté > 255 mm"
3701303100,3701.30.31.00,3701.30.31.00 (2007-01/2018-12),200701,201812,MTK,MTK (2007-01/2018-12),200701,201812,"Photo film,flat,sens,unexp,> 255mm,prod of replications of exp & dvlpd cine film","Films photo,plans,sens,n impres,> 255mm,pr repro pellic ciné exposée et dévelop"
3701303900,3701.30.39.00,3701.30.39.00 (2007-01/2018-12),200701,201812,MTK,MTK (2007-01/2018-12),200701,201812,"Photographic film, in the flat, sensitized, unexposed,with any side > 255 mm,nes","Films photographiques,plans,sensibilisés,n impressionnés,a/m un côté > 255mm,nda"
3701911000,3701.91.10.00,3701.91.10.00 (1988-01/9999-12),198801,999912,MTK,MTK (1990-01/9999-12),199001,999912,"Photographic plates in the flat, sensitized, unexposed, for colour photography","Plaques photographiques, planes, sensibilisées, non impres, pour photo couleur"
3701911000,3701.91.10.00,3701.91.10.00 (1988-01/9999-12),198801,999912,,N/A (1988-01/1989-12),198801,198912,"Photographic plates in the flat, sensitized, unexposed, for colour photography","Plaques photographiques, planes, sensibilisées, non impres, pour photo couleur"
3701912000,3701.91.20.00,3701.91.20.00 (1988-01/9999-12),198801,999912,MTK,MTK (1990-01/9999-12),199001,999912,"Photographic film in the flat, sensitized, unexposed, for colour photography","Films photographiques, plans, sensibilisés, non impres, pour photo couleur"
3701912000,3701.91.20.00,3701.91.20.00 (1988-01/9999-12),198801,999912,,N/A (1988-01/1989-12),198801,198912,"Photographic film in the flat, sensitized, unexposed, for colour photography","Films photographiques, plans, sensibilisés, non impres, pour photo couleur"
