HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
3801100000,3801.10.00.00,3801.10.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1994-01/9999-12),199401,999912,Artifical graphite,Graphite artificiel
3801100000,3801.10.00.00,3801.10.00.00 (1988-01/9999-12),198801,999912,,N/A (1988-01/1993-12),198801,199312,Artifical graphite,Graphite artificiel
3801200000,3801.20.00.00,3801.20.00.00 (1988-01/9999-12),198801,999912,KGM,KGM (1994-01/9999-12),199401,999912,Colloidal or semi-colloidal graphite,Graphite colloïdal ou semi-colloïdal
3801200000,3801.20.00.00,3801.20.00.00 (1988-01/9999-12),198801,999912,,N/A (1988-01/1993-12),198801,199312,Colloidal or semi-colloidal graphite,Graphite colloïdal ou semi-colloïdal
3801300000,3801.30.00.00,3801.30.00.00 (1988-01/2003-06),198801,200306,KGM,KGM (1994-01/2003-06),199401,200306,Carbonaceous pastes for electrodes & similar pastes for furnace linings,Pâtes carbonées pour électrodes et pâtes sim pour revêtement intérieur des fours
3801300000,3801.30.00.00,3801.30.00.00 (1988-01/2003-06),198801,200306,,N/A (1988-01/1993-12),198801,199312,Carbonaceous pastes for electrodes & similar pastes for furnace linings,Pâtes carbonées pour électrodes et pâtes sim pour revêtement intérieur des fours
3801300000,3801.30.00.00,3801.30.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,Carbonaceous pastes for electrodes and similar pastes for furnace linings,Pâtes carbonées pour électrodes ou pour le revêtement intérieur des fours
3801301000,3801.30.10.00,3801.30.10.00 (2003-07/2011-12),200307,201112,KGM,KGM (2003-07/2011-12),200307,201112,Soderberg paste for use in the manufacture of silicon metal,Pâte soderberg devant servir à la fabrication du silicium métal
3801309000,3801.30.90.00,3801.30.90.00 (2003-07/2011-12),200307,201112,KGM,KGM (2003-07/2011-12),200307,201112,"Carbonaceous paste f electrodes and sim pastes,f furnac linings,excl soderburg","Pâtes carbonées pr électrode et pâtes sim, pr revêtement intérieur des fours,nda"
3801900000,3801.90.00.00,3801.90.00.00 (2017-01/9999-12),201701,999912,KGM,KGM (2017-01/9999-12),201701,999912,"Preparations, based on graphite/o carbon, in pastes/blocks/plates/o semi-mfr,nes","Préparations,à base de graphite/au carbone,en pâtes/blocs/plaqt/au demi-prod,nda"
