HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
2201100010,2201.10.00.10,2201.10.00.10 (1988-01/9999-12),198801,999912,LTR,LTR (1988-01/9999-12),198801,999912,"Natural mineral water, not cont sugar or sweetening matter nor flavoured","Eau minérale naturelle, sans sucre ou autre édulcorant ni aromatisée"
2201100090,2201.10.00.90,2201.10.00.90 (1988-01/9999-12),198801,999912,LTR,LTR (1988-01/9999-12),198801,999912,"Artificial mineral water & aerated waters, not cont sug or sweet matter nor flav","Eaux min arti et eaux gazéifiées,sans sucre ou autres édulcorants ni aromatisées"
2201900000,2201.90.00.00,2201.90.00.00 (1988-01/9999-12),198801,999912,LTR,LTR (1994-01/9999-12),199401,999912,"Waters, nes, not containing sugar or sweeteners nor flavoured, ice and snow","Eaux, nda, sans sucre ou autres édulcorants ni aromatisées, glace et neige"
2201900000,2201.90.00.00,2201.90.00.00 (1988-01/9999-12),198801,999912,,N/A (1988-01/1993-12),198801,199312,"Waters, nes, not containing sugar or sweeteners nor flavoured, ice and snow","Eaux, nda, sans sucre ou autres édulcorants ni aromatisées, glace et neige"
2202100000,2202.10.00.00,2202.10.00.00 (1988-01/1994-12),198801,199412,LTR,LTR (1988-01/1994-12),198801,199412,"Waters,incl mineral & aerated,containing sugar or sweetening matter or flavoured","Eaux, incl min et gazéifiées, avec sucre ou autre édulcorant ou aromatisées"
2202100011,2202.10.00.11,2202.10.00.11 (1995-01/9999-12),199501,999912,LTR,LTR (1995-01/9999-12),199501,999912,"Carbonated soft drinks, containing high-intensity sweeteners","Boissons gazeuses, non alcoolisées, contenant une haute teneur en édulcorants"
2202100019,2202.10.00.19,2202.10.00.19 (1995-01/9999-12),199501,999912,LTR,LTR (1995-01/9999-12),199501,999912,"Carbonated soft drinks, nes","Boissons gazeuses non alcoolisées, nda"
2202100090,2202.10.00.90,2202.10.00.90 (1995-01/9999-12),199501,999912,LTR,LTR (1995-01/9999-12),199501,999912,"Waters,incl min & aerated, containig sugar or sweetening matter,nes or flav","Eaux, incl min & gazéifiées, avec sucre ou autres édulcorants,nda,ou aromatisées"
2202900010,2202.90.00.10,2202.90.00.10 (1988-01/1989-04),198801,198904,LTR,LTR (1988-01/1989-04),198801,198904,Nectars,Nectars
2202900090,2202.90.00.90,2202.90.00.90 (1988-01/1989-04),198801,198904,LTR,LTR (1988-01/1989-04),198801,198904,"Non-alcoholic beverages nes,excluding fruit or vegetable juices of hd No 20.09","Boissons non alcoolisées nda, a/q jus de fruits ou de légumes de la pos 20.09"
2202901000,2202.90.10.00,2202.90.10.00 (1989-05/2016-12),198905,201612,LTR,LTR (1989-05/2016-12),198905,201612,Non-alcoholic beer,Bière non alcoolisée
2202902000,2202.90.20.00,2202.90.20.00 (1992-05/2016-12),199205,201612,LTR,LTR (1992-05/2016-12),199205,201612,Non-alcoholic wine,Vin non alcoolisé
2202903100,2202.90.31.00,2202.90.31.00 (1994-01/1994-12),199401,199412,LTR,LTR (1994-01/1994-12),199401,199412,"Juices not conc, fort with vitamins or minerals, of any single fruit or veg","Jus non conc, enrichis de vitamines ou de minéraux, d'un seul fruit ou légume"
2202903110,2202.90.31.10,2202.90.31.10 (1995-01/2016-12),199501,201612,LTR,LTR (1995-01/2016-12),199501,201612,"Orange juice, not concentrated, fortified with vitamins or minerals","Jus d'orange, non concentré, enrichi de vitamines ou de minéraux"
2202903190,2202.90.31.90,2202.90.31.90 (1995-01/2016-12),199501,201612,LTR,LTR (1995-01/2016-12),199501,201612,"Single fruit juice,nes,or veg,not concentrated,fortified w vitamins or min","Jus d'un seul fruit, nda ou légume, non conc, enrichi de vit ou minéraux"
