HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
1901101000,1901.10.10.00,1901.10.10.00 (1988-01/1995-12),198801,199512,KGM,KGM (1988-01/1995-12),198801,199512,"Food prep of flour,meal,starch or malt extract,for infant use, retail sale","Prép aliment de farine, semoule, amidon, fécule, extr malt, pour enfant, détail"
1901101000,1901.10.10.00,1901.10.10.00 (1996-01/9999-12),199601,999912,KGM,KGM (1996-01/9999-12),199601,999912,"Food prep of flour,meal,starch or malt extract,for infant/young child use,frs","Prép aliment de farine/semoule/amidon/fécule/extr malt,pr enfant en bas âge,cpvd"
1901102000,1901.10.20.00,1901.10.20.00 (1988-01/1993-12),198801,199312,KGM,KGM (1988-01/1993-12),198801,199312,"Malt extract/food prep containing dairy products, for infant use, retail sale","Extr de malt, prép aliment cont des prod laitiers, pour enfant, vente au détail"
1901102000,1901.10.20.00,1901.10.20.00 (1994-01/1997-12),199401,199712,KGM,KGM (1994-01/1997-12),199401,199712,"Malt extract, for infant use, put up for retail sale","Extrait de malt,pour l'alimentation des enfants,conditionnés pr vente au détail"
1901102000,1901.10.20.00,1901.10.20.00 (1998-01/2008-06),199801,200806,KGM,KGM (1998-01/2008-06),199801,200806,"Food prep containing >10% on a dry wt basis of milk solid,infant use,retail sale","Prép aliment cont >10% solides de lait en poids sec,pr enfants,vente au détail"
1901102010,1901.10.20.10,1901.10.20.10 (2008-07/9999-12),200807,999912,KGM,KGM (2008-07/9999-12),200807,999912,"Food prep cont >10% dry wt basis mlk sld,infant/young child use,frs,cert organic","Prép aliment cont >10% so de lait en pds sec, pr enf en bas âge,cpvd, certi biol"
1901102020,1901.10.20.20,1901.10.20.20 (2008-07/9999-12),200807,999912,KGM,KGM (2008-07/9999-12),200807,999912,"Food prep cont >10% dry wt milk sld,infant/young child use,frs,not cert organic","Prép aliment cont>10% so de lait pds sec,pr enf en bas âge, cpvd, non certi biol"
1901103100,1901.10.31.00,1901.10.31.00 (1994-01/1995-12),199401,199512,KGM,KGM (1994-01/1995-12),199401,199512,"Food prep containing >10% on a dry wt basis of milk solid,infant use,retail sale","Prép aliment cont >10% solides de lait en poids sec,pr enfants,vente au détail"
1901103100,1901.10.31.00,1901.10.31.00 (1996-01/1997-12),199601,199712,KGM,KGM (1996-01/1997-12),199601,199712,"Food prep containing >10% on a dry wt basis of milk solid,infant use,retail sale","Prép aliment cont >10% solides de lait en poids sec,pr enfants,vente au détail"
1901103900,1901.10.39.00,1901.10.39.00 (1994-01/1995-12),199401,199512,KGM,KGM (1994-01/1995-12),199401,199512,"Food preparations cont dairy products,nes,for infant use, for retail sale","Prép aliment cont des produits laitiers,nda,pr enfants,pr vente au détail"
1901103900,1901.10.39.00,1901.10.39.00 (1996-01/1997-12),199601,199712,KGM,KGM (1996-01/1997-12),199601,199712,"Food preparations cont dairy products,nes,for infant use, for retail sale","Prép aliment cont des produits laitiers,nda,pr enfants,pr vente au détail"
1901109010,1901.10.90.10,1901.10.90.10 (1998-01/9999-12),199801,999912,KGM,KGM (1998-01/9999-12),199801,999912,"Malt extract, suitable for infants or young children, put up for retail sale","Extrait de malt,pour l'alimentation des enfant en bas âge, cpvd"
1901109090,1901.10.90.90,1901.10.90.90 (1998-01/9999-12),199801,999912,KGM,KGM (1998-01/9999-12),199801,999912,"Food preparations cont dairy products,nes,for infant or young child use, frs","Préparations aliment cont des produits laitiers,nda,pr enfant en bas âge, cpvd"
1901201011,1901.20.10.11,1901.20.10.11 (1988-01/1993-12),198801,199312,KGM,KGM (1988-01/1993-12),198801,199312,"Cereal cake mixes, in packs<=11.34 kg","Mélanges à gâteaux à base de céréales, paq <=11,34 kg"
1901201019,1901.20.10.19,1901.20.10.19 (1988-01/1993-12),198801,199312,KGM,KGM (1988-01/1993-12),198801,199312,"Mixes, except cereal cake,for preparation of bakers' wares, in pack<=11.34kg","Mél, a/q base de céréales, pour prép boulangerie ou pâtisserie, paq <=11,34 kg"
1901201020,1901.20.10.20,1901.20.10.20 (1988-01/1993-12),198801,199312,KGM,KGM (1988-01/1993-12),198801,199312,"Doughs, for preparation of bakers' wares, in pack not exceeding 11.34kg","Pâtes, pour préparations de boulangerie ou pâtisserie, en paquets <=11,34 kg"
1901201111,1901.20.11.11,1901.20.11.11 (1994-01/1994-12),199401,199412,KGM,KGM (1994-01/1994-12),199401,199412,"Cereal cake mixes,cont >25% by wt butterfat,not for retail sale,pack<=11.34 kg","Mélanges à gâteaux,cont >25% mati gras beurre en poids,a/q vente dét,paq<=11,34k"
