HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
1001100000,1001.10.00.00,1001.10.00.00 (1988-01/1995-08),198801,199508,TNE,TNE (1988-01/1995-08),198801,199508,Durum wheat,Froment (blé) dur
1001101000,1001.10.10.00,1001.10.10.00 (1995-09/2002-07),199509,200207,TNE,TNE (1995-09/2002-07),199509,200207,"Durum wheat,within access commitment","Froment (blé) dur,dans les limites de l'engagement d'accès"
1001101010,1001.10.10.10,1001.10.10.10 (2002-08/2011-12),200208,201112,TNE,TNE (2002-08/2011-12),200208,201112,"Durum wheat, seed, within access commitment","Froment (blé) dur, de semence, dans les limites de l'engagement d'accès"
1001101090,1001.10.10.90,1001.10.10.90 (2002-08/2011-12),200208,201112,TNE,TNE (2002-08/2011-12),200208,201112,"Durum wheat, excluding seed, within access commitment","Froment (blé) dur, a/q de semence, dans les limites de l'engagement d'accès"
1001102000,1001.10.20.00,1001.10.20.00 (1995-09/2002-07),199509,200207,TNE,TNE (1995-09/2002-07),199509,200207,"Durum wheat,over access commitment","Froment (blé) dur,au-dessus de l'engagement,d'accès"
1001102010,1001.10.20.10,1001.10.20.10 (2002-08/2011-12),200208,201112,TNE,TNE (2002-08/2011-12),200208,201112,"Durum wheat, seed, over access commitment","Froment (blé) dur, de semence, au-dessus de l'engagement,d'accès"
1001102090,1001.10.20.90,1001.10.20.90 (2002-08/2011-12),200208,201112,TNE,TNE (2002-08/2011-12),200208,201112,"Durum wheat, excluding seed, over access commitment","Froment (blé) dur, a/q de semence, au-dessus de l'engagement,d'accès"
1001111000,1001.11.10.00,1001.11.10.00 (2012-01/9999-12),201201,999912,TNE,TNE (2012-01/9999-12),201201,999912,"Durum wheat, seed for sowing, within access commitment","Froment (blé) dur, de semence, dans les limites de l'engagement d'accès"
1001112000,1001.11.20.00,1001.11.20.00 (2012-01/9999-12),201201,999912,TNE,TNE (2012-01/9999-12),201201,999912,"Durum wheat, seed for sowing, over access commitment","Froment (blé) dur, de semence, au-dessus de l'engagement d'accès"
1001191000,1001.19.10.00,1001.19.10.00 (2012-01/9999-12),201201,999912,TNE,TNE (2012-01/9999-12),201201,999912,"Durum wheat, other than seed for sowing, within access commitment","Froment (blé) dur, a/q de semence, dans les limites de l'engagement d'accès"
1001192000,1001.19.20.00,1001.19.20.00 (2012-01/9999-12),201201,999912,TNE,TNE (2012-01/9999-12),201201,999912,"Durum wheat, other than seed for sowing, over access commitment","Froment (blé) dur, a/q de semence, au-dessus de l'engagement d'accès"
1001900000,1001.90.00.00,1001.90.00.00 (1988-01/1995-08),198801,199508,TNE,TNE (1988-01/1995-08),198801,199508,"Wheat, nes, and meslin","Froment (blé), nda, et méteil"
1001901000,1001.90.10.00,1001.90.10.00 (1995-09/1995-12),199509,199512,TNE,TNE (1995-09/1995-12),199509,199512,"Wheat,nes,including meslin,within access commitment","Froment (blé),nda,y compris méteil,dans les limites de l'engagement d'accès"
1001901010,1001.90.10.10,1001.90.10.10 (1996-01/2002-07),199601,200207,TNE,TNE (1996-01/2002-07),199601,200207,"White wheat, within access commitment","Froment (blé) blanc, dans les limites de l'engagement d'accès"
1001901020,1001.90.10.20,1001.90.10.20 (2002-08/2011-12),200208,201112,TNE,TNE (2002-08/2011-12),200208,201112,"Wheat, seed, within access commitment, nes","Froment (blé), de semence, dans les limites de l'engagement d'accès, nda"
1001901090,1001.90.10.90,1001.90.10.90 (1996-01/2002-07),199601,200207,TNE,TNE (1996-01/2002-07),199601,200207,"Wheat,nes,including meslin,within access commitment","Froment (blé),nda,y compris méteil,dans les limites de l'engagement d'accès"
1001901091,1001.90.10.91,1001.90.10.91 (2002-08/2011-12),200208,201112,TNE,TNE (2002-08/2011-12),200208,201112,"White wheat, excluding seed, within access commitment, nes","Froment (blé) blanc,a/q de semence,dans les limites de l'engagement d'accès,nda"
1001901099,1001.90.10.99,1001.90.10.99 (2002-08/2011-12),200208,201112,TNE,TNE (2002-08/2011-12),200208,201112,"Wheat, nes, including meslin, within access commitment","Froment (blé),nda,y compris méteil,dans les limites de l'engagement d'accès"
