HS10 Code,HS10 Code Formatted,HS10 Date Key,HS10 Start Date,HS10 End Date,Unit of Measure,HS10 UOM Date Key,UOM Start Date,UOM End Date,HS10 English Description,HS10 French Description
1501000010,1501.00.00.10,1501.00.00.10 (1988-01/1995-12),198801,199512,KGM,KGM (1988-01/1995-12),198801,199512,Lard,Saindoux
1501000010,1501.00.00.10,1501.00.00.10 (1996-01/2011-12),199601,201112,KGM,KGM (1996-01/2011-12),199601,201112,"Lard, o/t hds 02.09 or 15.03","Saindoux, sauf n°s 02.09 ou 15.03"
1501000020,1501.00.00.20,1501.00.00.20 (1988-01/1995-12),198801,199512,KGM,KGM (1988-01/1995-12),198801,199512,"Pig fat, other than lard, rendered, whether or not pressed or solvent-extracted","Graisse de porc, a/q saindoux, fondue, même pressée ou extraite par solvant"
1501000020,1501.00.00.20,1501.00.00.20 (1996-01/2011-12),199601,201112,KGM,KGM (1996-01/2011-12),199601,201112,"Pig fat, excl lard, rendered, o/t hds 02.09 or 15.03","Graisses de porc, fondues, a/q saindoux, sauf n°s 02.09 ou 15.03"
1501000030,1501.00.00.30,1501.00.00.30 (1988-01/1995-12),198801,199512,KGM,KGM (1988-01/1995-12),198801,199512,"Poultry fat, rendered, whether or not pressed or solvent-extracted","Graisse de volaille, fondue, même pressée ou extraite par solvant"
1501000030,1501.00.00.30,1501.00.00.30 (1996-01/2011-12),199601,201112,KGM,KGM (1996-01/2011-12),199601,201112,"Poultry fat, rendered, o/t hds 02.09 or 15.03","Graisses de volaille, fondues, sauf n°s pos 02.09 ou 15.03"
1501100000,1501.10.00.00,1501.10.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Lard, o/t of No 02.09 or 15.03","Saindoux, a/q ceux des n°s 02.09 ou 15.03"
1501200000,1501.20.00.00,1501.20.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Pig fat, o/t lard, o/t of No 02.09 or 15.03","Graisses de porc, a/q saindoux, a/q celles des n°s 02.09 ou 15.03"
1501900000,1501.90.00.00,1501.90.00.00 (2012-01/9999-12),201201,999912,KGM,KGM (2012-01/9999-12),201201,999912,"Poultry fat, o/t of No 02.09 or 15.03","Graisses de volailles, a/q celles des n°s 02.09 ou 15.03"
1502000011,1502.00.00.11,1502.00.00.11 (1988-01/1995-12),198801,199512,KGM,KGM (1988-01/1995-12),198801,199512,"Tallow,inedible, raw or rendered,whether or not pressed or solvent-extracted","Suif, non comestible, brut ou fondu, même pressé ou extrait par solvant"
1502000011,1502.00.00.11,1502.00.00.11 (1996-01/2011-12),199601,201112,KGM,KGM (1996-01/2011-12),199601,201112,"Tallow, inedible, o/t hd 15.03","Suif, non comestible, sauf n° pos 15.03"
1502000012,1502.00.00.12,1502.00.00.12 (1988-01/1995-12),198801,199512,KGM,KGM (1988-01/1995-12),198801,199512,"Tallow,edible, raw or rendered, whether or not pressed or solvent-extracted","Suif, comestible, brut ou fondu, même pressé ou extrait par solvant"
